鈹,phrie
帔,phrie/phriè
鮍,phrie
披,phrie/phrié
𤱍,phrie
耚,phrie
狓,phrie
翍,phrie
旇,phrie/briè
秛,phrie/phriè
𤿎,phrie/phie
㱟,phrie/phrié
陂,prie/priè
詖,prie/priè
碑,prie
羆,prie
𥀍,prie
𨰟,prie
𤜑,prie
𨧦,prie
𥶓,prie
襬,prie/phriè
藣,prie/priè
隨,zye
隋,zye/thuá
𥶻,zye
虧,khrye
闚,khye
窺,khye
竒,grie/krie
琦,grie
騎,grie/griè
鵸,grie
弜,grie/giáŋ
鬾,grie/griè
碕,grie/khrie/giəi/khrié
𢺷,grie
㩽,grie
錡,grie/grié/ŋrié
祇,gie
示,gie/zhì
岐,gie
歧,gie
𨙸,gie
疧,gie
蚑,gie/gie/khiè
忯,gie/die
䞚,gie/khrié
翄,gie/shiè
𢻚,gie
軝,gie
𩉬,gie
芪,gie
跂,gie/khié/khiè
䲬,gie
䉻,gie
𦭲,gie
伎,gie/grié/tiè
𨱜,gie
𠁭,gie
犧,qhrie
羲,qhrie
焁,qhrie/qhie
桸,qhrie/qhiəi
巇,qhrie
羛,qhrie/ŋrié
戲,qhrie/qho/qhriè
𤃪,qhrie
曦,qhrie
𢹍,qhrie
𧕆,qhrie
䚙,qhrie/qhyan
䖒,qhrie
㺣,qhrie
𣤴,qhrie
𢨛,qhrie
㚀,qhrie
隵,qhrie
㩻,khrie/kryè
觭,khrie/khrié
踦,khrie/krié
㱦,khrie/krie/krié
崎,khrie/giəi
𦖊,khrie
𤘌,khrie
㥓,khrie/khrié
䗁,khrie/grié
攲,khrie/krie/krié
宜,ŋrie
宐,ŋrie
𠣨,ŋrie
㝖,ŋrie
儀,ŋrie
𥪺,ŋrie
䣡,ŋrie
䴊,ŋrie
轙,ŋrie/ŋrié
涯,ŋrie/ŋre
崖,ŋrie/ŋre
皮,brie
疲,brie
郫,brie/bie/bre
罷,brie/brié/bré
㯅,brie/bie/pei
犤,brie/bre
提,die/dei
𦑡,die
㖷,die
匙,die
䈕,die
堤,die/tei/téi
𦳚,die
姼,die/dié/thié
眂,die/dì
𣏚,die
兒,nie/ŋei
𠒆,nie
唲,nie
